Gene	Control	Injured
Paxip1	5.695	9.305
Mef2c	66.07	54.295
Cbx5	18.0	18.375
Arnt	23.75	22.29
Nfe2l2	85.835	115.38
Hist1h2bc	79.49	129.365
Xbp1	220.005	201.775
Per1	6.47	3.755
Myc	141.665	163.93
Snai2	12.59	10.545
Nr4a1	251.485	219.845
Ankrd1	25.34	47.575
Ankrd2	1.155	71.02
Pitx3	1.955	2.765
Taf3	3.515	4.195
Eya1	3.36	3.205
Myog	8.845	15.555
Mtf1	15.145	12.805
Ing3	30.54	37.525
Tead4	0.305	1.375
Hdac11	2.2	1.45
Cited2	19.155	25.465
Atf4	262.295	233.475
Snai1	0.715	1.39
Jun	266.185	267.985
Smyd1	0.165	0.89
Nfic	29.44	28.66
Naca	298.48	242.095
Hist1h2bk	0.135	0.0
Hes6	5.065	10.335
Hist1h2bm	0.41	0.305
